epoch,loss,accuracy_train,accuracy_test,model
139,0.6037148237228394,0.6866666666666666,0.6546666666666666,cnn_1d
140,0.602950394153595,0.6866666666666666,0.656,cnn_1d
141,0.5964974164962769,0.6871111111111111,0.6493333333333333,cnn_1d
142,0.5879817008972168,0.684,0.652,cnn_1d
143,0.5777906775474548,0.6831111111111111,0.6493333333333333,cnn_1d
144,0.6032330989837646,0.688,0.6573333333333333,cnn_1d
145,0.6005695462226868,0.6822222222222222,0.6493333333333333,cnn_1d
146,0.6055638194084167,0.6884444444444444,0.652,cnn_1d
147,0.5811362862586975,0.6875555555555556,0.6533333333333333,cnn_1d
148,0.5883054137229919,0.6875555555555556,0.656,cnn_1d
149,0.5909382700920105,0.6862222222222222,0.6533333333333333,cnn_1d
150,0.6035711169242859,0.6871111111111111,0.6546666666666666,cnn_1d
1,0.6838443116082086,0.66,0.6453333333333333,rnn
2,0.6281264162063599,0.696,0.6986666666666667,rnn
3,0.6008949253294203,0.7053333333333334,0.7186666666666667,rnn
4,0.5875920284589131,0.7195555555555555,0.716,rnn
5,0.5787656447092692,0.7257777777777777,0.7186666666666667,rnn
6,0.5733921155929566,0.7404444444444445,0.716,rnn
7,0.5687060737344953,0.7506666666666667,0.7226666666666667,rnn
8,0.5623668853176965,0.756,0.7266666666666667,rnn
9,0.5549996795654297,0.7582222222222222,0.7213333333333334,rnn
10,0.5492774734232161,0.7644444444444445,0.736,rnn
11,0.5496854773362477,0.776,0.7306666666666667,rnn
12,0.5425336288081275,0.7786666666666666,0.732,rnn
13,0.5347873890135023,0.7853333333333333,0.736,rnn
14,0.5338617322709825,0.7893333333333333,0.7293333333333333,rnn
15,0.5290974903901418,0.7937777777777778,0.7373333333333333,rnn
16,0.5237083206176758,0.7995555555555556,0.7333333333333333,rnn
17,0.521768473095364,0.7977777777777778,0.736,rnn
18,0.5177703120973375,0.8048888888888889,0.728,rnn
19,0.515755696826511,0.8062222222222222,0.74,rnn
20,0.5108128209114075,0.8137777777777778,0.7386666666666667,rnn
